idlocalizacao,cep,numero_imovel,complemento,referencia,cidade,categoria
7697,81050225,4424,Apto,Aperiam.,Siqueira dos Dourados,disponível
98378,98222599,5562,Casa,Ad totam.,Cassiano do Oeste,reservado
31997,98388432,4772,Edifício,Sunt hic.,da Cruz do Sul,reservado
49187,08480-481,6743,Casa,Facilis.,Lopes dos Dourados,disponível
76642,27669-702,6038,Apto,Voluptatibus nemo.,Souza de Minas,reservado
95986,89840075,4105,Casa,Suscipit ipsum.,da Paz de da Costa,alugado
48456,96429-488,8827,Casa,Maiores amet.,Casa Grande do Sul,reservado
66464,55521542,3967,Edifício,Architecto.,Alves,alugado
23996,58631-887,3968,Casa,Autem.,Pimenta,disponível
42216,64379-046,8015,Bloco,Eveniet provident.,Cirino Verde,alugado
27871,14609-741,4979,Edifício,Magni.,Viana Alegre,reservado
87241,15284-906,8409,Edifício,Qui.,Cassiano,disponível
93227,49856-749,2738,Apto,Explicabo nam.,Moura das Flores,disponível
54572,34190018,4675,Casa,Soluta aperiam.,da Rosa,alugado
67321,29251583,8885,Edifício,Quae modi.,Alves do Oeste,alugado
83650,85833-589,4717,Casa,Nostrum nam.,Freitas,alugado
51756,27685674,1893,Apto,Voluptatibus.,da Cunha,reservado
94604,12770321,7683,Casa,Id deleniti.,Costela,alugado
78142,06815504,2941,Casa,Repellat.,Ribeiro,alugado
49162,31070450,5375,Casa,Tempore totam.,Gomes da Prata,reservado
4954,33265-077,9338,Apto,Aliquid.,Azevedo,disponível
65768,13497438,8509,Bloco,Alias.,Pires Paulista,disponível
38461,83052517,2752,Apto,Quaerat architecto.,Lima do Oeste,alugado
51919,12958912,5535,Edifício,Cum corporis.,Ramos,disponível
1769,74838-997,8553,Apto,Illum.,Nogueira,alugado
4939,13550256,1510,Edifício,Eius quidem.,Rocha de Costa,reservado
78050,71202-196,7061,Bloco,Dolor.,Machado,alugado
24349,56838-616,8336,Apto,Modi.,da Cruz,disponível
77782,23579859,1660,Apto,Qui pariatur.,Castro da Serra,disponível
17059,90641-208,8816,Casa,Incidunt.,Casa Grande do Sul,reservado
87154,84186766,85,Bloco,Labore fuga.,Oliveira,alugado
96910,57775-280,5995,Apto,Natus.,Almeida do Amparo,reservado
44292,87296510,9779,Apto,Ut expedita.,Campos da Mata,alugado
14556,32047414,7150,Edifício,Numquam.,Siqueira de Pires,disponível
90942,29015-355,2467,Bloco,Impedit voluptatibus.,Correia,reservado
58963,63192-383,3122,Apto,Ipsam autem.,Vargas,alugado
80587,27887-826,8690,Apto,Dicta nulla.,Moreira,alugado
63911,66162151,2183,Apto,Dolores.,Fonseca de Vieira,alugado
91818,70503-329,9652,Bloco,Velit occaecati.,Nascimento do Amparo,reservado
17503,91898-974,7502,Casa,Quisquam quaerat.,Lima,disponível
2414,88335-678,6393,Bloco,Quam placeat.,Cardoso,disponível
60720,18318-677,9076,Bloco,Reprehenderit.,Silva,alugado
44628,50498-214,2391,Casa,Ea.,Macedo,reservado
29368,84615377,7125,Edifício,Perferendis quos.,Câmara de Cavalcanti,alugado
15596,09900409,9214,Bloco,Est earum.,da Mota de da Rocha,reservado
17496,86666116,6576,Casa,Sequi.,Lima,disponível
46952,68597-894,3120,Casa,Laboriosam perferendis.,da Mata,alugado
56462,99282-180,5501,Edifício,Modi.,Duarte do Amparo,reservado
44730,42789-125,7843,Edifício,Optio.,Ferreira de Jesus,alugado
17495,06184088,2589,Bloco,Dolore.,Siqueira,disponível
71932,27586-697,6508,Bloco,Dolorum.,Camargo,disponível
96697,03884335,3466,Edifício,Voluptas dolorum.,Gomes de Araújo,alugado
28029,00292-814,5614,Casa,Ipsum.,Sales,reservado
60741,29858-783,4179,Apto,Eaque vero.,Cirino,alugado
4459,59361-534,7042,Casa,Accusamus.,Marques do Campo,reservado
63708,03669-205,6650,Apto,Sint architecto.,Alves de Minas,reservado
47538,59172613,2288,Apto,Incidunt.,Pastor,reservado
35335,53163-843,8520,Edifício,Ut.,Casa Grande Alegre,disponível
60520,45622217,7666,Edifício,Fugit quos.,Melo da Serra,disponível
97287,30058671,6448,Apto,Perspiciatis assumenda.,Porto,alugado
68543,86371972,3740,Apto,Vero.,Borges,reservado
33189,08599973,8370,Apto,Adipisci praesentium.,da Conceição da Mata,alugado
33175,83010-878,8280,Apto,Temporibus.,Campos do Amparo,disponível
38850,75202724,6519,Casa,Corrupti eum.,Sá,alugado
18807,80742-812,940,Casa,Soluta.,Marques do Norte,reservado
31369,69948-752,3627,Apto,Velit.,Rocha do Galho,alugado
48264,01391003,6109,Edifício,Vel excepturi.,Aparecida da Praia,disponível
10529,93692-187,8852,Casa,Ullam nulla.,Viana,disponível
4674,91362897,2975,Bloco,Recusandae.,Ferreira do Sul,alugado
89431,86592-925,9155,Apto,Iste.,Melo,disponível
85754,33758821,9746,Edifício,Harum.,Nogueira,reservado
61734,89776-931,1624,Apto,Sapiente.,Abreu,reservado
45805,80519302,474,Apto,Molestiae ipsam.,da Mota,alugado
9848,85131142,4312,Apto,Vero commodi.,Lopes,alugado
59029,17390-375,2148,Apto,Consequuntur.,da Mata,disponível
39654,47583-376,8238,Bloco,Voluptatum error.,Pires,alugado
35928,44546-952,9961,Bloco,Fugiat.,Santos das Flores,disponível
41584,20402832,2466,Edifício,Repellendus.,Sousa,reservado
5757,79428-602,6874,Apto,Voluptatum hic.,Fernandes,alugado
38770,45884-000,2942,Apto,Voluptatem architecto.,Casa Grande,reservado
79142,67725-970,5565,Apto,Dolorem unde.,da Mata,reservado
72825,36184-547,7093,Casa,Impedit natus.,Novaes das Pedras,disponível
88097,06436882,5807,Apto,Ducimus molestias.,Ramos,alugado
85038,64754627,1684,Casa,Nesciunt perspiciatis.,Oliveira,alugado
80040,15593714,9641,Edifício,Nobis sequi.,Garcia da Prata,disponível
33759,88145669,2166,Casa,Consequuntur nulla.,Costa,alugado
98814,45908-126,1810,Bloco,Eveniet doloribus.,Rios,disponível
26058,08610087,2598,Casa,Quae.,Machado,disponível
54483,45836458,8038,Apto,Sit.,Pimenta,reservado
71078,54329-339,606,Bloco,Qui tenetur.,Borges de da Cruz,alugado
67037,07979-811,9441,Bloco,Magni.,Araújo das Flores,alugado
58812,39545639,758,Bloco,Perferendis non.,Nascimento,alugado
17535,54704-868,4067,Casa,Unde.,Viana,reservado
19143,28180540,4593,Edifício,Voluptate.,Cavalcanti,alugado
79996,03616-800,4406,Casa,Culpa.,Guerra,disponível
74313,09608-873,9274,Edifício,Mollitia assumenda.,da Paz de Silveira,disponível
57709,42585295,652,Bloco,Ducimus animi.,Moura,disponível
76334,61506406,3862,Edifício,Ratione.,Farias das Flores,reservado
12393,33862115,7297,Apto,Dolor.,das Neves de Montenegro,disponível
76483,03215737,1332,Bloco,Deleniti explicabo.,Souza,reservado
16027,54445-388,5367,Bloco,Consequatur.,Costela,disponível
98140,35408-822,95,Bloco,Libero.,Vasconcelos Grande,disponível
2268,79709072,2520,Bloco,Veniam expedita.,Pires,reservado
68586,48294830,6872,Apto,Voluptatum.,da Costa da Serra,reservado
70256,21839755,9123,Bloco,Dolore.,Sousa,reservado
78608,93614-867,6724,Edifício,Blanditiis architecto.,Porto de da Luz,alugado
33192,33151-812,5772,Casa,Sit.,Viana da Praia,disponível
41448,61359803,4768,Apto,Enim.,Jesus,alugado
21396,42017-528,4903,Edifício,Officiis.,Borges de Costa,reservado
25533,70455494,935,Apto,Quos itaque.,da Mata dos Dourados,reservado
393,90660316,5772,Apto,Illum illum.,da Costa do Galho,disponível
39566,46419-501,3101,Apto,Ut.,Rodrigues,disponível
41882,57893-835,1432,Edifício,Cumque.,Vieira de Melo,reservado
80274,83930-349,7473,Apto,Porro illo.,Moura Alegre,reservado
23719,33131709,2954,Edifício,Magnam odio.,Pimenta,reservado
2522,36413-877,8110,Apto,Amet molestias.,Teixeira de Aparecida,reservado
57511,87219800,935,Bloco,Corporis dolore.,Casa Grande,disponível
76110,22771-935,576,Casa,At.,Melo,reservado
3558,16203-293,4802,Edifício,Iure veritatis.,Caldeira,disponível
15176,77463639,4861,Bloco,Accusamus.,Sampaio de Minas,alugado
95289,59767216,5223,Casa,Perferendis.,Pires,reservado
72535,95874406,4882,Edifício,Rerum.,Fernandes,alugado
50360,20149597,4938,Edifício,Exercitationem.,Cardoso,reservado
80036,34702714,5470,Bloco,Harum.,Sampaio,reservado
72706,09236419,7982,Apto,Qui ipsum.,Moreira de Ribeiro,disponível
69801,73640598,1611,Bloco,Facilis.,Cardoso de Novaes,alugado
4280,71914406,6545,Apto,Porro fugit.,da Luz da Mata,reservado
72254,67324936,6824,Apto,Cupiditate veritatis.,Vargas,alugado
6566,67361852,7536,Bloco,Adipisci esse.,Brito,disponível
79463,29637470,1738,Bloco,Modi fugiat.,Mendonça de Moreira,alugado
50932,11595-314,9170,Casa,Impedit ab.,Porto Paulista,alugado
96721,16808555,5882,Bloco,Neque.,da Cruz,reservado
64067,66436025,3481,Bloco,Ut cumque.,Freitas Paulista,disponível
29741,11888-279,8226,Edifício,Nisi.,Pires Alegre,alugado
577,05952226,5442,Casa,Totam voluptas.,Rocha das Flores,alugado
7455,18959780,5929,Bloco,Veritatis officiis.,da Luz das Pedras,reservado
65042,35597-896,5494,Bloco,Eius.,Rodrigues do Galho,alugado
40002,27168-126,7270,Edifício,Aliquid nihil.,Teixeira do Amparo,alugado
27910,49316-085,1639,Apto,Deserunt.,Rios,alugado
57226,56774274,647,Casa,Recusandae illo.,Costa,alugado
88995,41877-599,2191,Casa,Laudantium minima.,Macedo dos Dourados,disponível
17142,90982-933,2861,Casa,In quod.,Castro,alugado
67165,22398-858,7217,Apto,Quaerat laboriosam.,Barbosa,reservado
65354,63329-133,6888,Casa,Tempora.,Abreu,disponível
61395,47326-100,6889,Edifício,Explicabo.,Cassiano de Viana,disponível
70476,13656498,5308,Casa,Laborum repellendus.,Teixeira,reservado
17125,37568436,9103,Apto,Commodi.,Rios,disponível
96015,34852478,1754,Edifício,Voluptatibus labore.,da Rosa de Lopes,disponível
82594,61731384,1856,Bloco,Saepe corporis.,Macedo,alugado
58574,46341-923,3216,Casa,Laborum.,Barros do Galho,reservado
18339,50318-342,1352,Edifício,Eaque.,Nascimento de Fogaça,disponível
14231,83330-735,7051,Edifício,Rerum.,Azevedo,disponível
69483,95118-236,2499,Casa,Natus.,Mendes do Galho,disponível
25888,13203-236,4591,Edifício,Ut porro.,Fonseca da Prata,disponível
14395,62014-388,6283,Casa,Optio.,Gonçalves Grande,alugado
5806,81889476,7686,Edifício,Officiis ducimus.,Cassiano das Flores,disponível
6830,52217110,6303,Apto,Vero iure.,Campos,disponível
76171,28279-617,210,Edifício,Quae porro.,da Cruz,alugado
29191,89927-546,1733,Casa,Dolorum debitis.,da Cruz de Barros,alugado
62669,74127-695,537,Bloco,Possimus.,Monteiro Alegre,disponível
31801,69107779,7678,Edifício,Praesentium.,Marques,alugado
83419,48703-329,2515,Bloco,Ea.,Lima Paulista,reservado
15196,04780-765,6975,Bloco,Ad.,Borges,alugado
59560,85224271,3064,Bloco,Recusandae doloribus.,Gonçalves,reservado
18503,90417657,3678,Casa,Dolorem.,Santos da Mata,reservado
72664,08133-628,7608,Apto,Autem.,Lopes da Praia,disponível
11071,48276641,7842,Edifício,Magnam quasi.,Carvalho Verde,reservado
62653,62875-375,2880,Casa,Aperiam.,Almeida,reservado
54172,47402-518,2187,Bloco,Illo mollitia.,Fogaça das Flores,reservado
96287,98511167,5338,Bloco,Dolor quidem.,da Conceição da Prata,reservado
46883,24461-073,904,Bloco,Autem distinctio.,Oliveira,alugado
30212,74053-409,4714,Edifício,Eligendi modi.,Peixoto,alugado
61579,73869-577,1080,Casa,Tempora.,Oliveira,disponível
89151,94590962,3813,Edifício,Voluptatem.,Pimenta do Oeste,disponível
39740,19512072,8523,Bloco,Aut ullam.,Andrade de Pastor,disponível
64019,16252-393,7713,Edifício,Quas vero.,Martins,disponível
56822,31051-323,3341,Apto,Nesciunt.,Abreu do Amparo,reservado
39869,96415-541,4287,Apto,Molestiae libero.,Camargo,alugado
48952,81407959,3294,Apto,Autem.,Sá de da Conceição,reservado
97884,11092313,4513,Casa,Magni maxime.,Pastor da Praia,disponível
49181,42233-431,7603,Casa,Illo consequuntur.,Alves de Gomes,disponível
79086,93791-073,7408,Bloco,Quia earum.,Fonseca das Flores,alugado
94724,33009969,1388,Edifício,At.,Cunha,reservado
87840,69598629,2427,Edifício,Cumque asperiores.,Ribeiro,alugado
88769,70895-529,1139,Apto,Delectus architecto.,Santos,disponível
13972,09240497,8323,Bloco,Autem.,Nogueira,alugado
4562,87450-915,4831,Apto,Hic.,Almeida,reservado
59564,42817067,6996,Edifício,Expedita.,da Luz da Serra,disponível
67670,40335-945,4717,Apto,Reiciendis eveniet.,Mendonça,reservado
20739,70733-372,2234,Edifício,Aperiam error.,Sampaio da Serra,disponível
48165,54971-441,2761,Apto,Quidem.,Duarte,reservado
17606,11531-011,9457,Apto,Ducimus natus.,Farias,reservado
15697,86582028,8917,Edifício,Explicabo officia.,Peixoto,reservado
92061,82732-606,1891,Edifício,Debitis dolor.,Pereira,alugado
71607,42079-458,6941,Apto,Blanditiis iure.,Carvalho,alugado
89686,48633439,3427,Apto,Enim culpa.,Aragão de Albuquerque,reservado
42156,90324-628,3932,Bloco,Quis corporis.,Albuquerque das Pedras,disponível
60895,56846276,2128,Edifício,Non vel.,Fernandes Paulista,disponível
11843,87339960,1871,Casa,Impedit consequuntur.,Silva,reservado
33818,13688885,7776,Bloco,Qui omnis.,Sampaio de Campos,disponível
20307,34314205,70,Edifício,Doloribus inventore.,Caldeira de Sampaio,alugado
85883,65449-251,4269,Apto,Distinctio.,Barros,reservado
42167,94292-131,6562,Bloco,Expedita.,Carvalho de Goiás,disponível
87576,04814193,976,Apto,Cumque.,Câmara de Mendonça,alugado
16878,98708499,1671,Bloco,A possimus.,Almeida Grande,reservado
93544,17926892,1466,Bloco,Officiis.,da Paz,alugado
90144,78436-834,2813,Apto,Perferendis.,Castro de Pires,reservado
93310,91373119,6753,Bloco,Deleniti iure.,das Neves,alugado
5124,44034590,3222,Edifício,Deserunt corrupti.,Viana,reservado
31603,10136332,7432,Edifício,Necessitatibus.,Rodrigues,alugado
24404,29144332,7548,Bloco,In.,Pereira,alugado
47020,82667-325,147,Edifício,Molestiae.,Nogueira do Campo,reservado
85930,82147250,886,Apto,Sunt sapiente.,Porto da Praia,alugado
60748,44159825,6684,Bloco,Nulla.,da Cunha,reservado
33771,13366-277,8983,Casa,Nemo.,Barbosa,disponível
51603,03558-431,2335,Casa,Magnam.,Albuquerque da Praia,disponível
1899,37504-138,6228,Edifício,Eum.,Nascimento,disponível
91027,46966-851,7926,Edifício,Unde ipsum.,Carvalho,alugado
92971,49042-976,5500,Edifício,Eos fuga.,da Paz das Pedras,reservado
26635,79381-787,6511,Edifício,Ipsam provident.,Macedo,reservado
63307,47029-200,9968,Edifício,Est.,Lopes,disponível
65257,09919-225,3807,Casa,Eum.,da Mata das Pedras,reservado
38773,66282678,421,Casa,Nisi expedita.,Novais,disponível
47858,90747858,6689,Apto,Tempore laudantium.,Montenegro da Praia,alugado
50484,04813-984,5204,Edifício,Quos.,Pinto Grande,reservado
81720,08872-023,8230,Bloco,Incidunt.,Barbosa da Praia,reservado
48134,70056801,1184,Apto,Quaerat soluta.,Vargas,alugado
19437,34145-571,7376,Edifício,Deleniti repellat.,Pires Grande,alugado
37112,28462-091,7917,Bloco,Itaque assumenda.,Fernandes,reservado
86873,18657-949,7274,Edifício,Ipsa.,Monteiro,alugado
88330,52362157,2898,Casa,Perferendis.,da Luz de Minas,alugado
69606,09256-566,7054,Edifício,Tenetur.,Montenegro do Amparo,disponível
92151,11862-724,5609,Edifício,Molestiae.,Pastor das Pedras,disponível
7985,52532-729,5982,Apto,Vel delectus.,Correia,disponível
26370,43530808,8594,Bloco,Porro.,Fonseca do Sul,reservado
35313,00239-044,1848,Apto,Sed.,Cirino das Pedras,alugado
27457,12159-634,4094,Casa,Earum cum.,Borges da Praia,disponível
59526,59392632,2210,Apto,Delectus.,da Costa Grande,reservado
89154,37832910,6484,Edifício,Magni atque.,Ferreira de Monteiro,reservado
64682,20229004,6919,Apto,Quisquam magnam.,Nascimento,alugado
57269,82423515,9927,Edifício,Eius.,Novais,disponível
90504,99355-300,1277,Bloco,Nam.,Ribeiro,reservado
4900,44435796,8353,Apto,Quibusdam.,Guerra,alugado
73372,81928-384,3044,Apto,Minima id.,Cavalcanti de da Costa,alugado
53374,66789032,7475,Apto,Expedita commodi.,Farias do Oeste,alugado
45686,62761-495,318,Apto,Quo debitis.,Martins,disponível
6734,84839-866,4269,Casa,Sed eius.,Ferreira,reservado
44985,06306-310,3433,Bloco,Vel hic.,Jesus,alugado
62461,65048-686,6495,Edifício,Aut sapiente.,Duarte da Prata,disponível
82954,84627-355,9656,Edifício,Beatae.,Sousa,reservado
3792,80985-964,6804,Edifício,Maiores nostrum.,Vieira,reservado
4574,40297449,490,Bloco,Nobis ipsum.,Melo de da Conceição,reservado
56768,60298-585,2720,Bloco,Exercitationem.,Aragão,disponível
78133,84433225,1909,Edifício,Totam.,Cirino do Amparo,reservado
39481,42920-578,9426,Edifício,Velit.,Cirino,disponível
3156,31033-069,6458,Edifício,Repellendus.,Aragão do Campo,alugado
24446,46909-631,7439,Bloco,Sit.,da Conceição,alugado
21282,93504-961,5439,Apto,Dolorem earum.,Alves,disponível
73905,08180093,1069,Bloco,Beatae est.,Cunha da Praia,disponível
17586,37533-071,1111,Apto,Molestias nihil.,Cassiano,disponível
79450,03879876,8843,Apto,In repellat.,Moraes dos Dourados,alugado
7615,76741767,4964,Casa,Aperiam praesentium.,da Paz,reservado
91125,74451-955,3467,Apto,Placeat exercitationem.,Moraes,alugado
49044,21655-884,2813,Casa,Corporis accusantium.,Vargas,alugado
99790,12533575,7734,Edifício,Mollitia officia.,Castro do Sul,disponível
96009,62058-847,6633,Edifício,Quia.,Barbosa de Duarte,reservado
63947,81246057,6168,Apto,Dolorum.,Ramos dos Dourados,alugado
60645,94698-304,2809,Edifício,Accusamus.,Peixoto da Mata,disponível
6190,28521181,9226,Bloco,Autem numquam.,Araújo do Sul,reservado
40595,37986012,7976,Edifício,Dolor.,Sampaio,disponível
48166,27558591,7442,Edifício,Consequatur quisquam.,Azevedo Alegre,alugado
5672,55183-781,4619,Casa,Ad.,Novais de Caldeira,reservado
49389,91264519,2163,Apto,Ducimus.,Barros da Praia,disponível
33755,29106826,7550,Apto,Dolorum.,Aparecida,reservado
65377,82757590,5879,Edifício,Atque quod.,da Conceição,alugado
54147,94706963,2731,Bloco,Exercitationem cupiditate.,Duarte do Oeste,alugado
22240,62544-386,5542,Bloco,Alias.,Novais das Pedras,disponível
10809,04158-651,1177,Edifício,Non.,Novaes de Vieira,reservado
16090,69648-494,878,Bloco,Ipsam odit.,Montenegro,reservado
67010,57916-744,6673,Bloco,Similique architecto.,Siqueira Alegre,alugado
10335,23233-519,8711,Bloco,Unde.,Duarte das Pedras,alugado
5219,84475104,9104,Edifício,Enim aliquam.,Vasconcelos da Serra,disponível
86959,58532-375,7244,Casa,Esse.,Montenegro da Serra,reservado
26611,70453-008,104,Casa,Non doloribus.,Nascimento,reservado
84211,63272-670,938,Apto,Odit at.,Barros,alugado
3340,97846-958,3287,Casa,Aliquam in.,Alves,alugado
32503,79780-632,5064,Bloco,Doloremque.,da Cunha,reservado
99817,28069-015,1060,Casa,Molestiae.,Ferreira de Vasconcelos,reservado
12912,69937-208,9114,Apto,Qui voluptate.,Sales,reservado
20916,65130-602,8284,Apto,Repudiandae.,Fonseca do Sul,reservado
35770,87510704,1738,Apto,Quod corrupti.,Monteiro,reservado
43780,53274-701,1384,Apto,Enim labore.,Brito de Vasconcelos,alugado
1843,15222-436,8810,Casa,Quis dolores.,Caldeira,disponível
51362,67569-004,1846,Edifício,Repellendus.,Andrade do Oeste,alugado
2056,55819-611,1899,Bloco,Pariatur.,Cassiano da Mata,disponível
94940,97505627,5803,Apto,Officiis ipsam.,Casa Grande do Campo,reservado
70229,45682535,8883,Bloco,Nemo odit.,Brito,alugado
40929,58333-656,8288,Casa,Veniam.,Sampaio,disponível
96375,49748-578,8206,Apto,Pariatur similique.,Carvalho do Galho,alugado
25084,87129485,467,Apto,Consequatur autem.,Rezende,reservado
54004,35657-421,344,Bloco,Eaque.,Fogaça,alugado
30924,78457842,3090,Casa,Non.,Borges,disponível
17563,04826-799,5927,Edifício,Voluptate sit.,Rios,alugado
43833,09239890,4526,Bloco,Laboriosam doloremque.,da Conceição,alugado
37248,62580-150,8068,Bloco,Consequuntur.,Câmara,disponível
74692,52228-038,7639,Bloco,Occaecati fugit.,Correia,reservado
80735,01630328,5244,Bloco,Nam.,Fernandes,disponível
56788,68536051,4084,Apto,Nulla.,Gomes,alugado
40976,78668606,8281,Edifício,Quidem.,Sousa,reservado
95464,42586195,8851,Bloco,Sunt excepturi.,Cunha Paulista,alugado
66212,10149179,6464,Apto,In rem.,Cavalcante do Campo,alugado
45344,82695-798,8339,Edifício,At.,Moura de Azevedo,alugado
28465,13605660,6389,Bloco,Magnam quasi.,Ferreira das Pedras,reservado
90342,43417616,6867,Apto,Eveniet.,Pinto do Amparo,disponível
51014,95576202,666,Bloco,Quam quas.,Andrade,disponível
56185,75481-085,2946,Edifício,Minima maxime.,Almeida,disponível
95042,76089907,4859,Bloco,Error harum.,Mendonça,reservado
14763,54783-509,3227,Apto,Blanditiis voluptatum.,da Mata,disponível
93888,61890200,5741,Edifício,Quo.,Brito do Oeste,disponível
54457,85672335,1829,Apto,Laudantium.,Moraes do Galho,disponível
61662,50514-262,1295,Casa,Quam.,Guerra,disponível
60978,07183-917,8653,Edifício,Quos.,Vasconcelos do Sul,disponível
26366,93426-071,3281,Edifício,Ipsum blanditiis.,Siqueira das Flores,reservado
97094,65712-975,7372,Bloco,Cum.,Nunes,alugado
82233,51403632,3279,Bloco,Cupiditate neque.,Novaes,alugado
76764,57911120,9168,Bloco,Explicabo.,Casa Grande de das Neves,disponível
21373,27670209,3635,Bloco,Atque.,Ramos,disponível
41079,73945198,4256,Casa,Placeat corrupti.,Borges,reservado
82297,37141-305,6426,Apto,Totam.,Cassiano da Serra,disponível
1901,37123611,6799,Bloco,Aspernatur.,Almeida,alugado
43405,07319304,4651,Apto,Eaque.,Moraes,disponível
37109,94392-244,2837,Apto,Voluptas impedit.,Leão de Dias,alugado
99005,93500461,1534,Bloco,Quasi.,Brito,disponível
2323,81836092,125,Edifício,Quam exercitationem.,Vasconcelos de Fogaça,disponível
20796,74457-802,4439,Casa,Sint impedit.,da Rosa dos Dourados,alugado
28904,12706795,8181,Casa,Labore.,Aragão,disponível
68939,99137-665,4056,Casa,Veritatis soluta.,Garcia de Minas,disponível
59994,13025-075,778,Casa,Atque assumenda.,Gomes,disponível
88743,33913-951,4217,Apto,Sint.,Montenegro de Guerra,alugado
58377,68868999,8149,Casa,Mollitia omnis.,Guerra,disponível
63346,31395-458,4283,Bloco,Asperiores dolorum.,Aparecida da Praia,reservado
84192,15170-502,5838,Casa,Ullam deleniti.,Monteiro,reservado
74051,46915252,6585,Apto,Maxime.,Pacheco,disponível
91271,35801151,8087,Apto,Labore delectus.,da Costa de Machado,disponível
66613,16707868,2262,Casa,Eaque doloribus.,Sousa do Campo,reservado
50064,91034293,2614,Casa,Quibusdam.,Almeida,reservado
68548,38747-528,7576,Edifício,Inventore.,Viana Paulista,alugado
11979,64947-939,630,Edifício,Est.,Costela,reservado
72421,23695750,3767,Casa,Totam.,da Rosa,reservado
56494,45569668,3807,Apto,Ducimus veritatis.,Pastor do Campo,disponível
8587,76276245,3042,Casa,Possimus rem.,Ramos,alugado
57672,28795580,7183,Apto,Alias mollitia.,Câmara de Nascimento,alugado
26122,68650-320,3735,Edifício,Eveniet expedita.,Azevedo,disponível
22361,81272046,3630,Apto,Praesentium consequuntur.,Barbosa do Campo,reservado
61466,14389-400,844,Edifício,Maxime unde.,Leão,reservado
6658,58839-552,3159,Casa,Inventore.,Ribeiro do Oeste,alugado
3531,87694-125,9602,Casa,Enim.,Fernandes Alegre,reservado
32793,97946806,3412,Apto,Expedita iste.,Cardoso,disponível
90000,48303-473,3251,Casa,Architecto quia.,Rocha de Pereira,alugado
75952,02716408,2203,Bloco,Dolor eum.,Cunha,alugado
60034,23441-636,4875,Casa,Aut.,Pimenta,alugado
60697,31857-855,5737,Bloco,Error.,Caldeira Paulista,alugado
59259,02372461,2934,Apto,Libero.,Casa Grande,alugado
99390,30759-020,8457,Bloco,Ipsa nobis.,Sá de Freitas,reservado
9334,60344462,870,Apto,Laborum.,Rodrigues de Caldeira,reservado
19407,73706-044,3447,Casa,Id.,da Rocha de da Luz,alugado
37411,63515868,6060,Bloco,Tempore atque.,Abreu,reservado
24246,27027-097,1315,Bloco,Mollitia odit.,Ramos,reservado
8483,08789-976,8089,Apto,Quia.,Montenegro,disponível
63660,94037-126,9641,Edifício,Eveniet.,Farias das Flores,reservado
30173,20118-501,4348,Bloco,Enim.,Duarte do Norte,disponível
61321,11731-535,7704,Bloco,At dolores.,Nunes do Amparo,reservado
4095,51803069,9018,Edifício,Magni officia.,Santos,disponível
98357,56205-635,1741,Edifício,Magnam sit.,Pereira,disponível
83742,15890-250,5562,Apto,Laudantium explicabo.,Porto,alugado
44668,05261-645,5064,Edifício,Aut tempora.,Melo de Guerra,alugado
80712,37969286,2457,Bloco,Voluptatibus.,Moura,alugado
40140,11682803,2008,Apto,Laudantium quibusdam.,Monteiro da Mata,reservado
11542,55776445,7826,Edifício,Quas.,Correia,alugado
54028,30060-095,9556,Casa,Ipsam libero.,Fonseca,reservado
64568,84321-616,9295,Edifício,Nostrum nostrum.,Campos,disponível
479,79540848,8441,Bloco,Magni corporis.,Castro da Praia,disponível
52982,86369295,7024,Bloco,Ipsa rem.,Siqueira,alugado
67759,70693356,4352,Bloco,Molestiae.,Novais,disponível
29332,88354523,1327,Casa,Tempore.,Novaes da Mata,disponível
16431,38376714,5226,Bloco,Assumenda.,Souza do Campo,disponível
45780,18931713,6791,Casa,Repudiandae.,Porto,reservado
84994,26428915,3989,Apto,Iusto exercitationem.,Macedo de Vargas,reservado
44029,19991-071,5302,Bloco,Incidunt.,Rodrigues,reservado
5390,50660400,869,Casa,Ea inventore.,Silva,disponível
46889,74796887,7942,Apto,Iure.,Pimenta,reservado
49143,68619159,3975,Casa,Voluptas.,Cassiano de Goiás,alugado
44227,65261-567,6932,Apto,Nemo.,Jesus,reservado
20443,22284-700,5166,Bloco,Animi.,Freitas do Amparo,reservado
83876,63891-938,1571,Apto,Consectetur.,Abreu,disponível
94076,45183-701,8874,Apto,Quaerat.,Sales,disponível
28732,65723744,7831,Casa,Quam dolor.,Lima,reservado
51014,31377-397,508,Casa,Assumenda vel.,Gomes,alugado
36351,89319848,6157,Apto,Placeat iste.,Lopes da Serra,disponível
19184,49529966,7283,Apto,Ex nemo.,Silveira das Pedras,disponível
61446,62536261,759,Bloco,Dolor error.,Fogaça de Minas,alugado
26346,19184-488,4142,Edifício,Aliquam recusandae.,Barbosa,alugado
62826,40182771,9715,Bloco,Commodi.,Rezende,disponível
39241,99692-475,6666,Edifício,Optio.,Nogueira da Mata,reservado
59596,60429329,757,Apto,Consequatur.,Correia,reservado
4367,87076-567,1453,Casa,Aspernatur.,Rodrigues,disponível
78248,51510-318,2431,Apto,Incidunt officia.,da Cruz da Praia,disponível
62935,32743-461,7971,Edifício,Dignissimos.,Azevedo das Pedras,alugado
26857,76539446,8357,Apto,Velit.,Câmara,reservado
64793,60793-641,8073,Casa,Quis.,Montenegro de Minas,disponível
95045,16917-471,4505,Apto,Esse.,Sá de Caldeira,reservado
91615,76726497,3279,Edifício,Vel.,Marques do Oeste,reservado
